Банк,Возможность,МИР,Visa,MasterCard
Открытие,true,0 0 0,1 100 0,1 100 0
Альфабанк,true,0 0 0,1 99 0,1 99 0
Россельхоз,false,-,-,-
Росбанк,true,0 0 0 ,0 0 0,0 0 0
Сбербанк,false,-,-,
ВТБ,true,0 0 0,1 20 0,1 20 0
Райффайзен,true,0 0 0,0 0 0,0 0 0
Тинькофф,true,2 0 0,2 0 0 ,2 0 0
Почтабанк,false,-,-,-
Газпромбанк,true,1 99 0,1 99 0,1 99 0
Уралсиб,false,,,
ОТП,true,0 0 0,0 0 0,0 0 0
Московский индустриальный,false,-,-,-
Авангард,true,0 0 0,1 0 0,1 0 0
Левобережный,true,0 0 0,0 0 0,0 0 0
Хоум кредит,false,-,-,-
Русский стандарт,true,1 99 0,1 99 0,1 99 0
ЮниКредитБанк,true,0 0 0,0 0 0,0 0 0
АкБарс,false,-,-,-
МТС Банк,true,1.5 50 0,1.5 50 0,1.5 50 0
